LOTE;UNIDAD;TIPO;MARCA;MODELO;ANHO;TRACC;COMB;KILOMETRAJE;ADJUDIC
1;BFE;STATION WAGON;CHEVROLET;SUBURBAN 4X4 5.3 AUT;2018;4x4;B;41090;23100000
2;PARTICULARES;STATION WAGON;KIA MOTORS;GRAND CARNIVAL EX 2.2 AUT;2018;4x2;D;113459;14400000
3;BFE;STATION WAGON;BMW;X1 SDRIVE20I LUXURY 2.0 AUT;2017;AWD;B;32154;14700000
4;BFE;STATION WAGON;CHEVROLET;CAPTIVA PREMIER 1.5;2020;4x2;B;13109;13000000
5;PARTICULARES;STATION WAGON;SEAT;ATECA 4X4 1.4 AUT;2020;4x4;B;2066;13600000
6;AUTOMOTORAS;HATCHBACK;PEUGEOT;308 BLUE HDI HB 1.6 AUT;2019;4x2;D;49238;10600000
7;PARTICULARES;HATCHBACK;CITROËN;C3 HDI 1.5;2020;4x2;D;15816;10400000
8;BFE;STATION WAGON;MITSUBISHI;ECLIPSE CROSS RX 1.5 AUT;2019;4x2;B;5281;11600000
9;BFE;STATION WAGON;CHEVROLET;TRACKER II LS 1.8;2019;4x2;B;16379;9600000
10;PARTICULARES;STATION WAGON;NISSAN;QASHQAI SENSE 2.0;2018;4x2;B;29269;8800000
11;AUTOMOTORAS;STATION WAGON;PEUGEOT;2008 ACTIVE BLUEHDI 1.6;2018;4x2;D;63412;8100000
12;AUTOMOTORAS;STATION WAGON;PEUGEOT;2008 ACTIVE BLUEHDI 1.6;2018;4x2;D;63659;8100000
13;AUTOMOTORAS;STATION WAGON;PEUGEOT;2008 ACTIVE BLUEHDI 1.6;2018;4x2;D;65882;8100000
14;AUTOMOTORAS;STATION WAGON;CHANGAN;CX70 T 1.5 AUT;2020;4x2;B;12;8000000
15;AUTOMOTORAS;STATION WAGON;CHANGAN;CX70 T 1.5;2020;4x2;B;15;7800000
16;AUTOMOTORAS;STATION WAGON;CHANGAN;CX70 T 1.5;2020;4x2;B;24;6800000
17;AUTOMOTORAS;STATION WAGON;CHANGAN;CX70 T 1.5;2020;4x2;B;28;7800000
18;AUTOMOTORAS;STATION WAGON;CHANGAN;CS55 1.5;2020;4x2;B;59;6800000
19;LEASING;STATION WAGON;HYUNDAI;TUCSON TL 2.0 AT;2017;4x2;B;96739;8400000
20;AUTOMOTORAS;SEDAN;PEUGEOT;301 HDI 92HP 1.6;2019;4x2;D;37084;7200000
21;AUTOMOTORAS;SEDAN;PEUGEOT;301 HDI 92HP 1.6;2019;4x2;D;36857;6900000
22;AUTOMOTORAS;SEDAN;PEUGEOT;301 HDI 92HP 1.6;2019;4x2;D;39331;6900000
23;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;1;3000000
24;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;1;3000000
25;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;1;3000000
26;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;1;3000000
27;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;1;3100000
28;LEASING;CAMIONETA;FORD;RANGER XLT 4X4 3.2;2018;4x4;D;101311;10500000
29;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRT 4X4 2.4;2018;4x4;D;65449;10100000
30;LEASING;CAMIONETA;NISSAN;NP300 DCAB 4X4 2.3;2017;4x4;D;53047;9300000
31;LEASING;CAMIONETA;NISSAN;NP300 DCAB SE 4X4 2.3;2017;4x4;D;142826;8500000
32;LEASING;CAMIONETA;CHEVROLET;NEW DMAX 2.5;2018;4x4;D;69726;8100000
33;LEASING;CAMIONETA;TOYOTA;HILUX DX D CAB 2.4;2019;4x2;D;29225;10600000
34;LEASING;CAMIONETA;TOYOTA;HILUX D CAB TDI DX 2.4;2019;4x2;D;35321;10600000
35;LEASING;CAMIONETA;TOYOTA;HILUX DCAB DX 2.4;2019;4x2;D;50803;10300000
36;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CR 2.4;2018;4x2;D;32301;8700000
37;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CR 2.4;2018;4x2;D;81562;8300000
38;BFE;CAMIONETA;MITSUBISHI;L200 WORK D CAB CR 2.4;2018;4x2;D;146276;8100000
39;LEASING;CAMIONETA;FORD;RANGER XLT 4X4 3.2;2016;4x4;D;89780;8600000
40;LEASING;CAMIONETA;TOYOTA;HI LUX 2.4;2018;4x2;D;163379;7800000
41;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4 2.0;2017;4x4;D;137721;7300000
42;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4 2.0;2017;4x4;D;144177;7400000
43;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4 2.0;2016;4x4;D;97144;8200000
44;LEASING;CAMIONETA;CHEVROLET;D MAX II 2.5;2016;4x2;D;31895;7600000
45;LEASING;CAMIONETA;CHEVROLET;D MAX II 2.5;2016;4x2;D;84647;7300000
46;LEASING;CAMIONETA;CHEVROLET;D MAX II 2.5;2016;4x2;D;129904;7600000
47;LEASING;CAMIONETA;CHEVROLET;DMAX 4WD 2.5;2017;4x4;D;209225;6600000
48;LEASING;CAMIONETA;SSANGYONG;ACTYON SPORT 2.0;2017;4x2;D;84536;6400000
49;LEASING;CAMIONETA;SSANGYONG;ACTYON SPORT 2.0;2017;4x2;D;148075;6300000
50;LEASING;CAMIONETA;SSANGYONG;ACTYON SPORT 2.0;2016;4x2;D;120921;6300000
51;LEASING;CAMIONETA;SSANGYONG;ACTYON SPORT 2.0;2016;4x2;D;150707;6200000
52;LEASING;CAMIONETA;FIAT;STRADA 1.4;2016;4x2;B;48382;4900000
53;LEASING;CAMIONETA;FIAT;STRADA TREKKING DCAB 1.4;2016;4x2;B;175181;3900000
54;LEASING;FURGON;HYUNDAI;H1 CRDI GL 2.5;2017;4x2;D;107211;8100000
55;AUTOMOTORAS;FURGON;CHANGAN;M201 DOHC 1.2;2020;4x2;B;16;4800000
56;AUTOMOTORAS;FURGON;CHANGAN;M201 DOHC 1.2;2018;4x2;B;25;4200000
57;BFE;CAMIONETA;CHANGAN;MS201 DCAB 1.2;2018;4x2;B;35691;4600000
58;LEASING;FURGON;FIAT;FIORINO 1.3;2014;4x2;D;141113;4200000
59;LIQUIDACIONES;SEDAN;KIA MOTORS;RIO 5 EX 1.4;2019;4x2;B;18679;6100000
60;AUTOMOTORAS;STATION WAGON;CHANGAN;CS35 1.6 AT;2018;4x2;B;568;6000000
61;AUTOMOTORAS;STATION WAGON;CHANGAN;A500 OTTO 1.5;2020;4x2;B;31;5800000
62;PARTICULARES;HATCHBACK;PEUGEOT;208 ACTIVE 1.2 AUT;2017;4x2;B;55777;6500000
63;BFE;STATION WAGON;CHEVROLET;SPIN LTZ 1.8;2018;4x2;B;21711;5400000
64;PARTICULARES;STATION WAGON;MG;ZS 1.5 AUT;2019;4x2;B;15898;6500000
65;BFE;HATCHBACK;SUZUKI;BALENO GLX HB 1.4;2018;4x2;B;38491;5500000
66;BFE;HATCHBACK;CHEVROLET;ONIX LTZ 1.4;2019;4x2;B;20031;4800000
67;AUTOMOTORAS;STATION WAGON;RENAULT;DUSTER DYNAMIQUE 1.6;2017;4x2;B;54644;5000000
68;BFE;HATCHBACK;SUZUKI;SWIFT GLS HB 1.2;2019;4x2;B;19809;5300000
69;LEASING;HATCHBACK;SUZUKI;SWIFT DOHC HB 1.2;2019;4x2;B;48579;5600000
70;LEASING;HATCHBACK;SUZUKI;SWIFT DOHC HB 1.2;2019;4x2;B;48816;5600000
71;LEASING;HATCHBACK;SUZUKI;SWIFT DOHC HB 1.2;2019;4x2;B;48864;5300000
72;LEASING;HATCHBACK;SUZUKI;SWIFT DOHC HB 1.2;2019;4x2;B;49072;5300000
73;PARTICULARES;HATCHBACK;KIA MOTORS;MORNING EX 1.2;2019;4x2;B;30738;5200000
74;BFE;SEDAN;MITSUBISHI;LANCER 1.6;2018;4x2;B;34299;5300000
75;BFE;STATION WAGON;CHERY;TIGGO 2 GLS 1.5;2018;4x2;B;13780;4700000
76;PARTICULARES;SEDAN;NISSAN;VERSA SENSE 1.6;2018;4x2;B;18375;5700000
77;PARTICULARES;SEDAN;RENAULT;SYMBOL 1.6;2019;4x2;B;14081;5100000
78;PARTICULARES;HATCHBACK;KIA MOTORS;MORNING EX 1.2;2017;4x2;B;44352;4800000
79;BFE;SEDAN;CHEVROLET;SAIL 1.5;2019;4x2;B;40843;4500000
80;BFE;SEDAN;CHEVROLET;SAIL LS 1.5;2019;4x2;B;48088;4000000
81;BFE;SEDAN;CHEVROLET;SAIL 1.5;2019;4x2;B;48229;4200000
82;BFE;SEDAN;CHEVROLET;SAIL 1.5;2018;4x2;B;38483;4000000
83;BFE;SEDAN;SUZUKI;CIAZ GL 1.4;2017;4x2;B;55084;3900000
84;PARTICULARES;SEDAN;CHEVROLET;PRISMA LTZ 1.4;2017;4x2;B;68911;4700000
85;PARTICULARES;HATCHBACK;FORD;FIESTA TITANIUM 1.6;2015;4x2;B;75759;4800000
86;PARTICULARES;HATCHBACK;CITROËN;C4 N2 1.6;2014;4x2;B;77594;4200000
